City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
171,Tuktoyaktuk,69.45,-133.04,-20.2,75,20,8.05,CA,2020-12-15 04:13:21
172,Mazatlan,23.22,-106.42,69.01,88,20,3.36,MX,2020-12-15 04:19:31
173,Auki,-8.77,160.7,86.09,67,66,8.95,SB,2020-12-15 04:14:05
174,Lincoln,40.8,-96.67,19.4,73,1,5.82,US,2020-12-15 04:19:17
175,Katherine,-14.47,132.27,93.2,49,75,8.05,AU,2020-12-15 04:13:21
176,Tiksi,71.69,128.87,-25.29,82,54,5.46,RU,2020-12-15 04:13:19
177,Polunochnoye,60.87,60.42,12.58,96,100,2.75,RU,2020-12-15 04:20:31
178,Takoradi,4.88,-1.76,77.85,88,29,6.55,GH,2020-12-15 04:20:31
179,Mount Isa,-20.73,139.5,100.4,22,40,9.17,AU,2020-12-15 04:12:23
180,Santiago,-33.46,-70.65,68.0,42,38,6.93,CL,2020-12-15 04:20:32
181,Bela,25.93,81.98,68.22,28,19,5.64,IN,2020-12-15 04:20:32
182,Shenzhen,22.55,114.07,64.0,67,68,1.01,CN,2020-12-15 04:15:39
183,Guiberoua,6.24,-6.17,71.55,99,25,2.48,CI,2020-12-15 04:20:32
184,Fort Frances,48.6,-93.4,-0.4,64,40,3.36,CA,2020-12-15 04:20:32
185,Jinji,23.23,110.83,46.09,64,99,8.14,CN,2020-12-15 04:20:32
186,Mapiripan,2.89,-72.13,74.16,94,96,3.24,CO,2020-12-15 04:20:32
187,Nurota,40.56,65.69,21.2,92,90,2.24,UZ,2020-12-15 04:20:32
188,Plouzane,48.38,-4.62,50.0,76,20,12.75,FR,2020-12-15 04:20:32
189,Jucuaran,13.25,-88.25,67.93,95,74,1.77,SV,2020-12-15 04:20:33
190,Naze,28.37,129.48,62.6,55,75,14.99,JP,2020-12-15 04:12:40
191,Leningradskiy,69.38,178.42,18.01,95,100,21.5,RU,2020-12-15 04:13:13
192,Hashtrud,37.48,47.05,32.04,95,96,1.1,IR,2020-12-15 04:19:08
193,Dutse,11.76,9.34,62.13,29,0,4.97,NG,2020-12-15 04:20:33
194,Manica,49.0,-1.17,44.6,93,0,5.82,FR,2020-12-15 04:20:33
195,Bakchar,57.02,82.07,10.76,95,100,8.84,RU,2020-12-15 04:18:51
196,East London,-33.02,27.91,64.4,93,0,9.17,ZA,2020-12-15 04:13:20
197,Axim,4.87,-2.24,77.85,88,27,6.42,GH,2020-12-15 04:11:30
198,Puerto Colombia,10.99,-74.95,80.6,88,0,9.17,CO,2020-12-15 04:15:46
199,Sur,22.57,59.53,72.18,51,0,14.2,OM,2020-12-15 04:13:32
200,Sioux Lookout,50.1,-91.92,-5.8,70,90,6.93,CA,2020-12-15 04:13:39
201,Absam,47.3,11.5,37.99,70,99,3.36,AT,2020-12-15 04:20:34
202,Pontecagnano,40.64,14.87,50.0,71,0,8.01,IT,2020-12-15 04:20:34
203,Matara,5.95,80.54,82.44,69,65,0.65,LK,2020-12-15 04:20:34
204,Durham,36.03,-78.87,39.2,80,1,9.1,US,2020-12-15 04:20:34
205,Tasiilaq,65.61,-37.64,30.2,63,99,5.82,GL,2020-12-15 04:12:58
206,Shizunai,42.33,142.37,27.25,83,96,24.2,JP,2020-12-15 04:16:42
207,Chitral,35.85,71.79,27.37,73,53,6.38,PK,2020-12-15 04:18:57
208,Kharp,66.8,65.81,-9.63,88,57,3.06,RU,2020-12-15 04:20:35
209,Veraval,20.9,70.37,71.51,55,0,13.18,IN,2020-12-15 04:19:10
210,Dikson,73.51,80.55,-19.79,88,74,9.26,RU,2020-12-15 04:12:58
211,Chicama,-7.84,-79.15,68.13,77,99,3.74,PE,2020-12-15 04:14:08
212,Bambous Virieux,-20.34,57.76,77.0,94,75,11.41,MU,2020-12-15 04:13:47
213,Gorontalo,0.54,123.06,86.38,67,70,6.87,ID,2020-12-15 04:20:00
214,Varhaug,58.61,5.65,48.2,87,90,10.29,NO,2020-12-15 04:20:36
215,Torbay,47.67,-52.73,37.0,100,90,16.11,CA,2020-12-15 04:20:36
216,Palana,59.12,159.97,14.16,93,28,22.39,RU,2020-12-15 04:20:36
217,Namatanai,-3.67,152.43,84.54,73,100,3.76,PG,2020-12-15 04:13:33
218,Sao Filipe,14.9,-24.5,73.63,73,15,9.01,CV,2020-12-15 04:13:07
219,El Sauzal,31.9,-116.68,57.0,83,38,4.09,MX,2020-12-15 04:20:36
220,Yarada,17.65,83.27,78.8,74,20,10.29,IN,2020-12-15 04:20:36
221,Ugoofaaru,5.67,73.0,82.11,74,68,9.8,MV,2020-12-15 04:13:49
222,Cahuacan,19.64,-99.42,60.01,62,5,3.36,MX,2020-12-15 04:20:36
223,Dingle,11.0,122.67,84.4,77,74,12.62,PH,2020-12-15 04:13:25
224,Novikovo,51.15,37.89,30.31,98,100,7.52,RU,2020-12-15 04:20:37
225,Monterey,36.25,-121.25,48.0,1,0,4.0,US,2020-12-15 04:20:37
